geo_key,county_name,township_name,village_name,electoral_district_name,Agree,Disagree,valid_votes,invalid_votes,total_votes,electorate,emitted_votes,uncast_votes,remaining_votes,turnout_ratio
66000090019,臺中市,豐原區,社皮里,臺中市第08選區,1520,3040,4560,50,4610,9485,4610,0,4875,48.6
66000090034,臺中市,豐原區,翁子里,臺中市第08選區,524,1136,1660,16,1676,3306,1676,0,1630,50.7
66000090033,臺中市,豐原區,翁明里,臺中市第08選區,371,733,1104,11,1115,2141,1115,0,1026,52.08
66000090035,臺中市,豐原區,翁社里,臺中市第08選區,352,719,1071,12,1083,1940,1083,0,857,55.82
66000090007,臺中市,豐原區,葫蘆里,臺中市第08選區,133,160,293,7,300,543,300,0,243,55.25
66000090010,臺中市,豐原區,西勢里,臺中市第08選區,390,658,1048,7,1055,2001,1055,0,946,52.72
66000090009,臺中市,豐原區,西安里,臺中市第08選區,880,1422,2302,21,2323,4406,2324,1,2082,52.72
66000090016,臺中市,豐原區,西湳里,臺中市第08選區,1724,2725,4449,48,4497,9168,4497,0,4671,49.05
66000090001,臺中市,豐原區,豐原里,臺中市第08選區,343,768,1111,3,1114,2128,1114,0,1014,52.35
66000090018,臺中市,豐原區,豐圳里,臺中市第08選區,561,1107,1668,18,1686,3083,1686,0,1397,54.69
66000090004,臺中市,豐原區,豐榮里,臺中市第08選區,210,306,516,2,518,1033,518,0,515,50.15
66000090023,臺中市,豐原區,豐田里,臺中市第08選區,1742,3079,4821,49,4870,9737,4871,1,4866,50.02
66000090008,臺中市,豐原區,豐西里,臺中市第08選區,312,500,812,10,822,1565,822,0,743,52.52
66000090024,臺中市,豐原區,鎌村里,臺中市第08選區,762,1461,2223,23,2246,4358,2246,0,2112,51.54
66000090026,臺中市,豐原區,陽明里,臺中市第08選區,483,814,1297,12,1309,2481,1309,0,1172,52.76
66000090002,臺中市,豐原區,頂街里,臺中市第08選區,196,261,457,4,461,880,461,0,419,52.39
66000260018,臺中市,霧峰區,丁台里,臺中市第02選區,413,679,1092,12,1104,2188,1104,0,1084,50.46
